# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_SimpleBernoulli_model
# start_datetime = 2024-02-26 09:28:03 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac701461c4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-202402261028-1-0a37f7.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_SimpleBernoulli-profile-202402261028-1-594215.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_SimpleBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,theta
# Adaptation terminated
# Step size = 0.236001
# Diagonal elements of inverse mass matrix:
# 0.0593235
-61.8717,0.999997,0.236001,3,11,0,61.8743,0.79521
-62.0542,0.998302,0.236001,3,9,0,62.0715,0.816559
-61.919,0.999957,0.236001,3,9,0,62.0688,0.783692
-61.9213,0.999961,0.236001,1,1,0,61.9214,0.783418
-61.9554,0.992208,0.236001,4,15,0,63.0502,0.809763
-61.9157,0.999334,0.236001,2,7,0,62.0328,0.80578
-62.0814,0.99787,0.236001,3,11,0,62.1998,0.770753
-61.8718,0.993502,0.236001,2,7,0,62.7381,0.79564
-61.9782,0.997787,0.236001,2,7,0,62.083,0.811601
-62.2412,0.989616,0.236001,2,7,0,63.3921,0.762516
-62.4047,0.995574,0.236001,1,3,0,62.5349,0.7557
-62.3075,0.997669,0.236001,3,9,0,62.8581,0.827749
-62.3101,0.997753,0.236001,3,11,0,62.7654,0.759498
-63.6678,0.983588,0.236001,3,7,0,63.6707,0.720468
-63.1171,0.995091,0.236001,1,3,0,64.0561,0.733641
-62.5276,0.990517,0.236001,2,5,0,64.0626,0.751205
-61.9408,0.999796,0.236001,3,9,0,62.5847,0.808445
-62.2455,0.996324,0.236001,3,11,0,62.4376,0.762319
-61.9035,0.99595,0.236001,2,7,0,62.7164,0.78576
-61.879,0.999161,0.236001,3,9,0,62.0162,0.790636
-61.9248,0.998451,0.236001,3,11,0,62.054,0.806818
-62.1171,0.995953,0.236001,2,5,0,62.2941,0.819873
-62.1774,0.987681,0.236001,3,11,0,63.7827,0.76555
-62.1669,1,0.236001,1,1,0,62.1786,0.76608
-62.0652,0.988691,0.236001,3,9,0,63.5515,0.81718
-61.8888,0.999705,0.236001,3,11,0,62.1375,0.801775
-61.877,0.99887,0.236001,2,7,0,62.0306,0.791304
-62.3133,0.989418,0.236001,2,7,0,62.9627,0.827958
-62.1509,0.998381,0.236001,2,5,0,62.5328,0.821465
-63.0302,0.988709,0.236001,2,5,0,63.1983,0.846795
-62.6141,0.997076,0.236001,3,7,0,63.522,0.837124
-62.4213,0.99874,0.236001,1,3,0,62.764,0.831563
-63.4369,0.987039,0.236001,3,9,0,64.6422,0.725732
-62.1575,0.99695,0.236001,3,11,0,64.1767,0.821764
-62.0432,1,0.236001,3,7,0,62.1567,0.815923
-61.8841,0.999957,0.236001,3,15,0,62.0571,0.800792
-61.8723,0.999498,0.236001,2,7,0,61.9431,0.793874
-61.982,0.995796,0.236001,2,7,0,62.2618,0.777565
-62.1293,0.997911,0.236001,2,5,0,62.1731,0.768044
-63.1114,0.98344,0.236001,3,15,0,63.9083,0.848431
