# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = W3_MemoryBernoulli_model
# start_datetime = 2024-02-26 12:05:42 UTC
# method = sample (Default)
#   sample
#     num_samples = 1000 (Default)
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 1 (Default)
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpET6GqC/standata-44ac265bcf4.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-202402261305-1-21ec3d.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/W3_MemoryBernoulli-profile-202402261305-1-18cddb.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=W3_MemoryBernoulli_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,bias,beta
# Adaptation terminated
# Step size = 0.268705
# Diagonal elements of inverse mass matrix:
# 0.0504955, 0.0344792
-78.8191,0.999853,0.268705,3,7,0,79.1969,0.271103,0.081943
-79.8982,0.941004,0.268705,3,15,0,81.1412,0.42905,0.387214
-79.3045,0.999154,0.268705,2,3,0,80.1446,0.434849,0.322292
-79.2212,1,0.268705,1,1,0,79.3342,0.432298,0.315306
-80.3514,0.963609,0.268705,2,3,0,80.4282,0.476583,0.377118
-79.6884,1,0.268705,3,7,0,80.7382,-0.0717473,0.271889
-78.7687,0.992209,0.268705,2,3,0,80.0683,-0.0345314,0.347232
-78.9664,0.994817,0.268705,3,15,0,79.7791,0.453856,0.251503
-78.7491,0.999625,0.268705,3,7,0,79.0407,0.162007,0.152827
-78.124,0.997975,0.268705,3,15,0,79.3114,0.0991642,0.365695
-78.3669,0.985154,0.268705,5,31,0,81.3661,0.344857,0.130714
-78.2828,0.999374,0.268705,3,7,0,78.4113,0.305668,0.151998
-79.0507,0.96422,0.268705,2,7,0,79.3298,0.409164,0.320227
-78.5019,0.998841,0.268705,3,15,0,80.0545,-0.0151355,0.387945
-78.7432,0.979069,0.268705,2,3,0,78.9564,-0.0261741,0.339829
-78.7594,0.998001,0.268705,3,7,0,79.0198,0.127146,0.504571
-78.6263,0.987461,0.268705,2,7,0,80.0977,0.0243083,0.516258
-78.9114,0.983482,0.268705,1,3,0,79.1121,0.0384719,0.556435
-79.3082,0.983572,0.268705,2,3,0,79.4696,0.0712182,0.588698
-78.8467,0.989122,0.268705,4,15,0,80.1627,0.222354,0.460003
-79.0738,0.977169,0.268705,2,3,0,79.5659,0.195058,0.501657
-79.3492,0.991367,0.268705,3,7,0,79.6138,0.0499631,0.181818
-78.1227,0.999956,0.268705,3,15,0,79.6227,0.297571,0.214547
-78.1998,0.98908,0.268705,2,5,0,78.4632,0.273556,0.178928
-79.7021,0.931363,0.268705,3,7,0,80.7397,0.401368,0.396798
-78.5431,0.998691,0.268705,3,7,0,80.2809,0.202094,0.435364
-78.1052,0.997013,0.268705,3,15,0,78.8646,0.231309,0.221373
-78.548,0.955759,0.268705,2,7,0,79.4263,0.146088,0.189485
-79.0374,0.988971,0.268705,3,15,0,79.2914,0.457531,0.258161
-80.3966,0.948429,0.268705,3,11,0,82.3459,0.323343,0.5179
-80.1464,1,0.268705,1,1,0,80.4328,0.321443,0.501527
-78.1505,0.991666,0.268705,2,7,0,80.6619,0.138907,0.390728
-78.2875,0.940845,0.268705,3,15,0,80.2,0.0807531,0.297737
-78.0914,0.999222,0.268705,3,15,0,78.8457,0.282758,0.231339
-78.1654,0.998406,0.268705,3,7,0,78.1917,0.275348,0.188853
-80.2171,0.906798,0.268705,3,11,0,82.0499,0.155296,0.620106
-79.7373,1,0.268705,3,15,0,80.414,0.114172,0.0983249
-80.6922,0.965127,0.268705,2,3,0,80.8057,0.062261,0.0741124
-79.396,1,0.268705,2,3,0,80.7326,0.136423,0.108883
-78.2998,1,0.268705,3,15,0,79.7626,0.133721,0.24006
-78.2948,0.99436,0.268705,3,15,0,78.812,0.346732,0.254187
-78.4377,0.993409,0.268705,3,15,0,78.7356,0.0230602,0.336973
-78.0593,0.999101,0.268705,3,15,0,79.2025,0.258954,0.246514
-78.165,0.995816,0.268705,4,15,0,78.3934,0.250318,0.195269
-78.159,0.964896,0.268705,2,7,0,79.3411,0.305627,0.262254
-79.0185,0.979257,0.268705,3,7,0,79.5376,0.412294,0.018592
-79.1568,0.998377,0.268705,3,7,0,79.4448,0.50362,0.0128423
-79.1732,0.986727,0.268705,3,7,0,80.2636,0.507456,0.011787
-79.2298,0.999466,0.268705,4,15,0,79.4237,0.516044,0.00574016
-78.7933,0.976781,0.268705,2,7,0,80.7303,0.465851,0.191567
-78.4391,1,0.268705,4,15,0,78.8199,0.210209,0.161614
-78.1161,0.983296,0.268705,3,15,0,79.4638,0.235853,0.326754
