# stan_version_major = 2
# stan_version_minor = 34
# stan_version_patch = 1
# model = WSLS_model
# start_datetime = 2024-03-06 10:36:40 UTC
# method = sample (Default)
#   sample
#     num_samples = 2000
#     num_warmup = 1000 (Default)
#     save_warmup = 0 (Default)
#     thin = 1 (Default)
#     adapt
#       engaged = 1 (Default)
#       gamma = 0.05 (Default)
#       delta = 0.99
#       kappa = 0.75 (Default)
#       t0 = 10 (Default)
#       init_buffer = 75 (Default)
#       term_buffer = 50 (Default)
#       window = 25 (Default)
#       save_metric = 0 (Default)
#     algorithm = hmc (Default)
#       hmc
#         engine = nuts (Default)
#           nuts
#             max_depth = 20
#         metric = diag_e (Default)
#         metric_file =  (Default)
#         stepsize = 1 (Default)
#         stepsize_jitter = 0 (Default)
#     num_chains = 1 (Default)
# id = 2
# data
#   file = C:/Users/KERESZ~1/AppData/Local/Temp/RtmpyU5IGk/standata-4f1077b72f55.json
# init = 2 (Default)
# random
#   seed = 123
# output
#   file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-202403061136-2-4cb121.csv
#   diagnostic_file =  (Default)
#   refresh = 0
#   sig_figs = -1 (Default)
#   profile_file = C:/Users/Kereszt Alina/Documents/GitHub/st8_ACM_assign2/simmodels/WSLS-profile-202403061136-2-0e0b63.csv
#   save_cmdstan_config = 0 (Default)
# num_threads = 2 (Default)
# stanc_version = stanc3 v2.34.0
# stancflags = --O1 --name=WSLS_model
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,winprob,lossprob
# Adaptation terminated
# Step size = 0.237848
# Diagonal elements of inverse mass matrix:
# 0.207443, 0.0835104
-58.6326,0.996871,0.237848,3,7,0,58.919,2.49334,0.782416
-61.6374,0.972483,0.237848,4,15,0,63.2326,2.39903,2.0293
-61.838,0.99876,0.237848,2,3,0,61.9322,2.34343,2.03925
-61.8618,0.979468,0.237848,4,15,0,66.833,1.5547,1.37451
-61.7736,1,0.237848,2,3,0,61.9467,1.56964,1.38917
-58.4223,1,0.237848,3,7,0,61.857,2.11167,1.20796
-58.303,0.993735,0.237848,3,15,0,59.9423,3.08153,1.51956
-59.213,0.996934,0.237848,4,15,0,59.8075,1.93894,1.11424
-59.1013,1,0.237848,1,1,0,59.2125,1.96158,1.11559
-59.228,0.999441,0.237848,4,15,0,60.077,2.06542,0.887758
-59.702,0.997128,0.237848,4,15,0,60.6408,3.1008,1.77758
-58.0133,0.997984,0.237848,3,15,0,60.9563,2.24214,1.24457
-59.0439,0.988753,0.237848,4,15,0,59.8865,2.18235,1.57654
-60.0715,0.985809,0.237848,4,15,0,62.2172,2.77382,1.87569
-58.5964,0.996569,0.237848,3,15,0,61.625,2.18635,0.941219
-58.1584,0.999919,0.237848,2,3,0,58.64,2.25494,1.02612
-57.6984,0.999365,0.237848,3,7,0,58.3051,2.37836,1.14813
-57.3778,0.998095,0.237848,2,7,0,57.9366,2.65926,1.22024
-57.4043,0.998533,0.237848,4,15,0,57.6137,2.72055,1.27816
-57.4801,0.99915,0.237848,3,7,0,57.506,2.5802,1.30087
-57.537,0.998258,0.237848,3,15,0,57.8418,2.58601,1.0599
-57.5665,0.998845,0.237848,3,15,0,57.774,2.9854,1.26863
-57.4175,0.998975,0.237848,3,15,0,57.8071,2.7117,1.10987
-58.4546,0.983902,0.237848,3,11,0,59.4474,2.76238,1.62259
-57.6874,0.998499,0.237848,3,7,0,58.8383,2.98634,1.35481
-57.9443,0.998084,0.237848,3,7,0,57.9915,3.15673,1.34531
-57.9484,0.999508,0.237848,4,15,0,58.3915,2.6552,0.90192
-57.6398,0.999993,0.237848,4,15,0,58.1324,3.00727,1.30913
-58.068,0.995166,0.237848,4,15,0,58.444,2.45205,1.48825
-58.2702,0.998822,0.237848,3,7,0,58.3732,2.53535,1.56544
-59.0581,0.99105,0.237848,4,15,0,60.1245,3.05603,1.68561
-58.7856,0.99736,0.237848,3,7,0,59.5938,3.12846,1.61103
-59.1577,0.994073,0.237848,3,7,0,59.6851,3.02882,1.70962
-58.9858,0.997668,0.237848,4,15,0,61.1107,3.57626,1.27608
-58.9061,1,0.237848,2,3,0,59.024,3.5475,1.29214
-59.0206,0.995415,0.237848,4,15,0,60.7956,2.13195,1.53118
